eventname,datetime
FRB20190303A,2022-01-03 15:03:33.806817
FRB20190303A,2022-02-14 12:15:02.001779
FRB20190303A,2022-12-04 16:59:56.999011
FRB20190303A,2023-05-07 06:55:01.445790
FRB20190303A,2021-03-02 11:11:30.868078
FRB20190303A,2021-11-07 18:40:17.240719
FRB20190303D,2019-03-03 09:23:51.717398
FRB20190303D,2019-08-04 23:33:00.520611
FRB20190328C,2019-03-28 12:25:12.502907
FRB20190328C,2019-09-18 12:18:49.539143
FRB20190417A,2019-04-17 13:55:44.814
FRB20190417A,2019-08-06 06:36:49.674
FRB20190417A,2019-09-29 03:14:15.846
FRB20190417A,2020-01-24 19:24:33.448422
FRB20190417A,2020-07-26 07:21:42.417566
FRB20190417A,2020-12-16 21:47:54.159790
FRB20190417A,2021-02-11 18:07:44.738864
FRB20190417A,2021-02-13 18:02:49.765824
FRB20190417A,2021-02-23 17:16:37.921359
FRB20190417A,2021-03-04 16:43:12.330032
FRB20190417A,2021-04-04 14:40:05.522962
FRB20190417A,2021-04-24 13:26:45.507038
FRB20190417A,2021-09-24 03:21:37.501501
FRB20190417A,2022-05-30 11:12:19.715607
FRB20190417A,2022-06-19 09:47:30.196290
FRB20190417A,2022-07-16 07:57:43.191682
FRB20190430C,2019-04-30 11:53:50.808778
FRB20190430C,2019-10-24 00:23:23.669427
FRB20190430C,2019-10-28 00:03:46.724262
FRB20190604A,2019-06-04 05:49:49.2554
FRB20190604A,2019-06-06 05:34:23.574
FRB20190604A,2021-03-29 10:05:32.464238
FRB20190609C,2019-06-09 19:39:09.331205
FRB20190609C,2020-10-30 10:15:05.276656
FRB20190609C,2021-01-13 05:25:46.902817
FRB20190804E,2019-08-04 04:36:41.458977
FRB20190804E,2020-06-29 06:47:21.415306
FRB20190804E,2020-07-09 06:10:23.913897
FRB20190804E,2020-12-01 20:39:22.943966
FRB20190804E,2020-12-25 19:07:46.950556
FRB20190804E,2020-12-28 18:52:36.322265
FRB20190804E,2022-02-03 16:32:18.115617
FRB20190804E,2022-04-16 11:46:49.545369
FRB20190812A,2019-08-12 04:35:15.950226
FRB20190812A,2020-06-24 07:33:48.766812
FRB20190905A,2019-09-05 09:13:14.167956
FRB20190905A,2020-04-02 03:03:53.117975
FRB20190905A,2020-06-28 23:01:17.387607
FRB20190905A,2021-05-20 14:00:27.471083
FRB20190905A,2021-08-30 11:40:17.705341
FRB20190905A,2021-12-13 09:24:10.130265
FRB20190915D,2019-09-15 09:14:38.707640
FRB20190915D,2020-02-13 23:01:24.893959
FRB20190915D,2020-02-14 23:14:26.669299
FRB20190915D,2020-03-12 21:14:05.297433
FRB20190915D,2020-03-13 21:16:13.547781
FRB20191013D,2019-10-13 09:19:29.933406
FRB20191013D,2020-05-15 19:09:12.315694
FRB20191105B,2019-11-05 10:40:05.566740
FRB20191105B,2020-04-27 22:44:05.083671
FRB20191106C,2019-11-06 18:15:00.984696
FRB20191106C,2020-02-15 11:35:11.527751
FRB20191106C,2020-03-17 09:33:24.934177
FRB20191106C,2020-06-17 03:37:20.518051
FRB20191106C,2020-12-01 16:33:57.673234
FRB20191106C,2021-02-12 11:42:03.645980
FRB20191106C,2021-03-16 09:34:25.399232
FRB20191106C,2021-06-17 03:30:33.041346
FRB20191106C,2021-08-22 23:16:06.571791
FRB20191106C,2021-11-04 18:22:45.642524
FRB20191106C,2021-11-15 17:37:12.922071
FRB20191106C,2021-12-19 15:22:13.032263
FRB20191106C,2022-01-18 13:26:46.183321
FRB20191106C,2022-04-11 07:49:17.452093
FRB20191106C,2022-04-23 07:10:32.891036
FRB20191106C,2022-05-14 05:50:19.501795
FRB20191106C,2022-08-10 00:07:11.845598
FRB20191114A,2019-11-14 22:42:26.124254
FRB20191114A,2020-04-18 12:17:54.403238
FRB20191114A,2020-06-14 08:34:57.434736
FRB20200118D,2020-01-18 07:15:55.982556
FRB20200118D,2020-07-01 20:23:45.445639
FRB20200120E,2020-01-20 09:57:36.005893
FRB20200120E,2020-02-06 08:50:45.752212
FRB20200120E,2020-07-18 22:12:31.867366
FRB20200120E,2020-11-29 13:31:29.857566
FRB20200120E,2021-04-21 04:03:48.373555
FRB20200120E,2021-04-23 03:48:34.726348
FRB20200120E,2021-04-30 03:19:02.400583
FRB20200120E,2021-08-23 19:43:56.556702
FRB20200127B,2020-01-27 20:00:33.947192
FRB20200127B,2020-02-19 18:27:29.104138
FRB20200202A,2020-02-02 00:51:20.637353
FRB20200202A,2020-10-14 08:15:06.710666
FRB20200202A,2023-06-04 16:54:23.317844
FRB20200223B,2020-02-23 22:18:22.964961
FRB20200223B,2020-07-02 13:48:09.621417
FRB20200223B,2020-08-21 10:34:10.286016
FRB20200223B,2021-01-15 00:57:55.989916
FRB20200223B,2021-01-17 00:45:49.450608
FRB20200223B,2021-07-12 13:09:18.868541
FRB20200223B,2023-05-14 17:04:26.594749
FRB20200320A,2020-03-20 22:54:29.244953
FRB20200320A,2020-11-05 07:50:16.471178
FRB20200420A,2020-04-20 18:35:52.331911
FRB20200420A,2020-08-20 10:36:00.890795
FRB20200619A,2020-06-19 08:10:16.248064
FRB20200619A,2020-06-21 08:11:49.862963
FRB20200619A,2020-08-25 03:47:56.349465
FRB20200619A,2020-10-22 00:11:06.710297
FRB20200619A,2021-01-30 17:28:34.286295
FRB20200619A,2022-03-29 13:38:24.988234
