repeater_name,tns_name,mjd_400,count,wait,log_wait,catalog,eventname
FRB20200420A,FRB20200820A,59081.4416770942,4,121.66676653019385,2.085171966203889,Catalog 2023,
FRB20200420A,FRB20200820A,59081.4416771675,4,7.330527296289802e-08,-7.134864784754157,Catalog 2023,
FRB20200508H,FRB20200508H,58977.0160302742,2,,,Catalog 2023,
FRB20200508H,FRB20200508C,58977.8,2,0.783969725802308,-0.105700707941661,Catalog 2023,
FRB20200619A,FRB20200619A,59019.34046587,5,,,Catalog 2023,
FRB20200619A,FRB20200621A,59021.3415493161,5,2.0010834460990736,0.30126519929325163,Catalog 2023,
FRB20200619A,FRB20200825B,59086.1582900958,5,64.81674077970092,1.8116871893469493,Catalog 2023,
FRB20200619A,FRB20201022D,59144.0077165728,5,57.849426476997905,1.76229905768518,Catalog 2023,
FRB20200619A,FRB20210130E,59244.728174721,5,100.72045814820012,2.0031176925841456,Catalog 2023,
FRB20200809E,FRB20200809E,59070.4923721335,5,,,Catalog 2023,
FRB20200809E,FRB20201018C,59140.329248175,5,69.83687604150327,1.8440848041757367,Catalog 2023,
FRB20200809E,FRB20210128B,59242.0384590455,5,101.70921087049646,2.007360284772229,Catalog 2023,
FRB20200809E,FRB20210208B,59253.0024138711,5,10.963954825601832,1.0399672374628397,Catalog 2023,
FRB20200809E,FRB20210208B,59253.0024140779,5,2.0679726731032133e-07,-6.684455204455704,Catalog 2023,
FRB20200828A,FRB20200828A,59089.7389113456,2,,,Catalog 2023,
FRB20200828A,FRB20210203E,59248.3271590848,2,158.5882477392006,2.200271000565914,Catalog 2023,
FRB20200913C,FRB20200913C,59105.0952309317,2,,,Catalog 2023,
FRB20200913C,FRB20200914C,59106.103300415,2,1.0080694833013695,0.0034904677983615315,Catalog 2023,
FRB20200926A,FRB20200926A,59118.103186884,4,,,Catalog 2023,
FRB20200926A,FRB20200926A,59118.1031869861,4,1.0210351319983602e-07,-6.990959314357234,Catalog 2023,
FRB20200926A,FRB20201210B,59193.8984237864,4,75.79523680029524,1.8796419141235297,Catalog 2023,
FRB20200926A,FRB20201223A,59206.8652479943,4,12.966824207898753,1.1128336231257472,Catalog 2023,
FRB20200929C,FRB20200929C,59121.3551202631,10,,,Catalog 2023,
