,frb,utc,mjd,telescope,ra,dec,l,b,frequency,dm,flux,width,fluence,snr,reference,redshift,redshift_measured,ra_error,dec_error,dm_error,raw,notes,high_freq,low_freq
58,FRB20160920A,20/9/2016 3:05,57651.12897,LPA,34:00.0,+41:45:00.00,167.87,4.79,111,1767,0.22,5000,1100,9.1,https://www.wis-tns.org/object/20160920a,1.4537,-,-,-,4,,,,
59,FRB20161202A,2/12/2016 13:24,57724.55896,LPA,44:00.0,+40:48:00.00,109.39,-20.29,111,291,0.29,810,1320,7.1,https://www.wis-tns.org/object/20161202a,0.2592,-,-,-,4,,,,
60,FRB20170107A,7/1/2017 20:05,57760.8369,ASKAP,23:18.0,-05:00:00.00,266.08,51.45,1320,609.5,22.3,2.6,57.98,16,https://www.wis-tns.org/object/20170107a,0.5907,-,10.5,10,0.5,,,,
61,FRB20170416A,16/4/2017 23:11,57859.96612,ASKAP,13:00.0,-55:01:60.00,337.62,-50.05,1320,523.2,19.4,5,97,13,https://www.wis-tns.org/object/20170416a,0.5113,-,15,9,0.2,,,,
62,FRB20170428A,28/4/2017 18:02,57871.75179,ASKAP,47:00.0,-41:51:00.00,359.21,-49.8,1320,991.7,7.7,4.4,34,10.5,https://www.wis-tns.org/object/20170428a,0.9357,-,30,20,0.9,,,,
63,FRB20170606A,6/6/2017 10:03,57910.41906,LPA,34:00.0,+41:45:00.00,167.87,4.79,111,247,0.54,3300,1782,8.3,https://www.wis-tns.org/object/20170606a,-,-,-,-,5,,,,
64,FRB20170707A,7/7/2017 6:17,57941.2622,ASKAP,59:00.0,-57:16:00.00,275.02,-52.39,1297,235.2,14.8,3.5,52,9.5,https://www.wis-tns.org/object/20170707a,0.2401,-,30,20,0.6,,,,
65,FRB20170712A,12/7/2017 13:22,57946.55715,ASKAP,36:00.0,-60:57:00.00,327.41,-49.24,1297,312.79,37.8,1.4,53,12.7,https://www.wis-tns.org/object/20170712a,0.3128,-,15,10,0.07,,,,
66,FRB20170826A,26/8/2017 13:52,57991.57779,GBT,31:58.7,+33:08:52.50,174.88,-0.22,6407.71,565,0.38,1.74,0.6612,55.7,https://www.wis-tns.org/object/20170826a,0.3061,0.19273,2.2,2.2,5,,,,
67,FRB20170827A,27/8/2017 16:20,57992.68076,UTMOST,49:18.7,-65:33:02.30,303.29,-51.58,835,176.8,50.3,0.4,19.87,90,https://www.wis-tns.org/object/20170827a,0.1786,-,0.08,72,0.04,,,,
68,FRB20170906A,6/9/2017 13:06,58002.54649,ASKAP,59:48.0,-19:57:00.00,33.85,-50.2,1297,390.3,29.6,2.5,74,17,https://www.wis-tns.org/object/20170906a,0.3892,-,10,6,0.4,,,,
69,FRB20170922A,22/9/2017 11:23,58018.47469,UTMOST,29:50.6,-07:59:40.49,45.07,-38.7,835,1111,5.19,34.1,177,20,https://www.wis-tns.org/object/20170922a,1.0394,-,0.15,240,1,,,,
70,FRB20171003A,3/10/2017 4:07,58029.1718,ASKAP,29:30.0,-14:07:00.00,294.9,48.41,1297,463.2,40.5,2,81,13.8,https://www.wis-tns.org/object/20171003a,0.4538,-,20,10,1.2,,,,
71,FRB20171004A,4/10/2017 3:23,58030.14143,ASKAP,57:36.0,-11:54:00.00,282.68,48.84,1297,304,22,2,44,10.9,https://www.wis-tns.org/object/20171004a,0.2996,-,12,10,0.3,,,,
72,FRB20171019A,19/10/2017 13:26,58045.56019,ASKAP,17:30.0,-08:40:00.00,52.51,-49.24,1297,460.8,40.5,5.4,219,23.4,https://www.wis-tns.org/object/20171019a,0.4549,-,7.5,7,1.1,,,,
73,FRB20171020A,20/10/2017 10:27,58046.43609,ASKAP,15:00.0,-19:40:00.00,36.17,-53.49,1297,114.1,117.6,3.2,200,19.5,https://www.wis-tns.org/object/20171020a,0.1119,-,45,40,0.2,,,,
74,FRB20171116A,16/11/2017 14:59,58073.62469,ASKAP,31:00.0,-17:13:60.00,206.37,-51.93,1297,618.5,19.6,3.2,63,11.8,https://www.wis-tns.org/object/20171116a,0.5911,-,10,10,0.5,,,,
75,FRB20171209A,9/12/2017 20:34,58096.85722,Parkes,50:25.0,-46:10:20.00,332.3,6.24,1352,1457.4,1.48,2.5,3.7,40,https://www.wis-tns.org/object/20171209a,1.1738,-,7.5,7.5,0.03,,,,
76,FRB20171213A,13/12/2017 14:22,58100.59908,ASKAP,39:00.0,-10:55:60.00,198.85,-47.48,1297,158.6,88.6,1.5,133,25.1,https://www.wis-tns.org/object/20171213a,0.1436,-,30,20,0.2,,,,
77,FRB20171216A,16/12/2017 17:59,58103.74943,ASKAP,28:00.0,-57:04:00.00,271.19,-49.29,1297,203.1,21,1.9,40,8,https://www.wis-tns.org/object/20171216a,0.2046,-,15,10,0.5,,,,
78,FRB20180110A,10/1/2018 7:34,58128.31568,ASKAP,53:00.0,-35:27:00.00,9.18,-51.32,1297,715.7,128.1,3.2,420,35.6,https://www.wis-tns.org/object/20180110a,0.6855,-,10.5,7,0.2,,,,
79,FRB20180119A,19/1/2018 12:24,58137.51702,ASKAP,29:18.0,-12:43:60.00,199.58,-50.42,1297,402.7,40.7,2.7,110,15.9,https://www.wis-tns.org/object/20180119a,0.3899,-,8,8,0.7,,,,
80,FRB20180128A,28/1/2018 0:59,58146.04142,ASKAP,56:00.0,-06:43:00.00,330.05,52.72,1297,441.4,17.5,2.9,51,12.4,https://www.wis-tns.org/object/20180128a,0.4368,-,20,15,0.2,,,,
81,FRB20180128B,28/1/2018 4:53,58146.20378,ASKAP,22:00.0,-60:15:00.00,329.86,-48.32,1297,495.9,28.7,2.3,66,9.6,https://www.wis-tns.org/object/20180128b,0.4847,-,15,11,0.7,,,,
82,FRB20180130A,30/1/2018 4:55,58148.20521,ASKAP,52:12.0,-38:34:00.00,4.21,-51.07,1297,343.5,23.1,4.1,95,10.2,https://www.wis-tns.org/object/20180130a,0.3442,-,14,10,0.4,,,,
83,FRB20180131A,31/1/2018 5:45,58149.23963,ASKAP,49:54.0,-40:40:60.00,0.93,-50.47,1297,657.7,22.2,4.5,100,13.8,https://www.wis-tns.org/object/20180131a,0.6338,-,12,8,0.5,,,,
84,FRB20180212A,12/2/2018 23:45,58161.98963,ASKAP,21:00.0,-03:34:60.00,341.52,52.45,1297,167.5,53,1.81,96,18.3,https://www.wis-tns.org/object/20180212a,0.1685,-,30,30,0.5,,,,
85,FRB20180301A,1/3/2018 7:34,58178.31551,Parkes,12:43.4,+04:33:44.80,204.41,-6.48,1352,522,1.2,2.18,1.3,20,https://www.wis-tns.org/object/20180301a,0.298,-,7.5,7.5,5,,,,
86,FRB20180309A,9/3/2018 2:49,58186.11774,Parkes,24:43.8,-33:58:44.50,10.93,-45.44,1352,263.42,27.6,0.475,13.12,411,https://www.wis-tns.org/object/20180309a,0.2634,-,7.5,7.5,0.01,,,,
87,FRB20180311A,11/3/2018 4:11,58188.17494,Parkes,31:33.4,-57:44:26.70,337.37,-43.72,1352,1570.9,0.15,13.4,2.1,11.5,https://www.wis-tns.org/object/20180311a,1.4748,-,7.5,7.5,0.5,,,,
88,FRB20180315A,15/3/2018 5:05,58192.21216,ASKAP,35:00.0,-26:49:60.00,12.59,-20.85,1297,479,23.3,2.4,56,10.4,https://www.wis-tns.org/object/20180315a,0.4304,-,45,10,0.4,,,,
